Fuzzing (with MutationEngine),0d 0h 4m 52s,16:53:20 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,50.32,70.14,3.03,3.79,0,,,,,,,,0,5.32,81.75,27.32,0,,,,0,215.16,2.49,52.4,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 4m 52s,16:53:20 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,50.37,70.28,3.02,3.77,0,,,,,,,,0,5.32,81.62,27.32,0,,,,0,215.16,2.49,52.39,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 52s,16:53:20 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,50.15,69.95,3.01,3.76,0,,,,,,,,0,5.32,81.65,27.32,0,,,,0,215.16,2.49,52.39,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 4m 52s,16:53:20 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,50.2,70.09,3.0,3.74,0,,,,,,,,0,5.32,81.78,27.32,0,,,,0,215.16,2.5,52.39,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 52s,16:53:20 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,50.0,69.77,2.99,3.72,0,,,,,,,,0,5.32,81.95,27.32,0,,,,0,215.16,2.5,52.39,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 4m 56s,16:53:24 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,50.02,70.14,2.98,3.62,0,,,,,,,,0,5.4,82.63,26.3,0,,,,0,193.81,2.56,51.87,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 56s,16:53:24 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,50.08,70.27,2.98,3.6,0,,,,,,,,0,5.4,82.56,26.3,0,,,,0,193.81,2.56,51.87,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 56s,16:53:24 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,49.89,69.96,2.97,3.59,0,,,,,,,,0,5.4,82.49,26.3,0,,,,0,193.81,2.56,51.87,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 4m 56s,16:53:25 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,49.95,70.09,2.96,3.57,0,,,,,,,,0,5.4,82.51,26.3,0,,,,0,193.81,2.56,51.87,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 57s,16:53:25 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,49.78,69.78,2.95,3.56,0,,,,,,,,0,5.4,82.55,26.3,0,,,,0,193.81,2.56,51.86,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 5m 2s,16:53:30 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,50.48,71.09,2.95,3.52,0,,,,,,,,0,5.41,82.55,25.87,0,,,,0,202.69,2.45,51.96,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 5m 2s,16:53:30 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,50.32,70.82,2.94,3.5,0,,,,,,,,0,5.41,82.5,25.87,0,,,,0,202.69,2.45,51.96,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 5m 2s,16:53:30 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,50.17,70.54,2.94,3.49,0,,,,,,,,0,5.41,82.45,25.87,0,,,,0,202.69,2.45,51.96,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 5m 2s,16:53:30 - 12.05.2025,0,0,0d 0h 0m 1s,0,0,,50.23,70.66,2.93,3.47,0,,,,,,,,0,5.41,82.43,25.87,0,,,,0,202.69,2.45,51.95,0,true,false,false,false
